SEQ_ID	SYMBOL	GENE_NAME
NM_001000065	Olr1061	olfactory receptor Olr1061
NM_001000066	Olr1058	olfactory receptor Olr1058
NM_001000067	Olr1055	olfactory receptor Olr1055
NM_001000068	Olr1024	olfactory receptor Olr1024
NM_001000069	Olr1020	olfactory receptor Olr1020
NM_001000070	Olr1016	olfactory receptor Olr1016
NM_001000071	Olr1012	olfactory receptor Olr1012
NM_001000072	Olr1057	olfactory receptor Olr1057
NM_001000073	Olr951	olfactory receptor Olr951
NM_001000074	Olr952	olfactory receptor Olr952
NM_001000075	Olr1006	olfactory receptor Olr1006
NM_001000076	Olr1007	olfactory receptor Olr1007
NM_001000077	Olr1000	olfactory receptor Olr1000
NM_001000078	Olr1579	olfactory receptor Olr1579
NM_001000079	Olr1582	olfactory receptor Olr1582
NM_001000080	Olr1583	olfactory receptor Olr1583
NM_001000081	Olr1584	olfactory receptor Olr1584
NM_001000082	Olr1588	olfactory receptor Olr1588
NM_001000083	Olr1589	olfactory receptor Olr1589
NM_001000084	Olr1592	olfactory receptor Olr1592
NM_001000085	Olr1593	olfactory receptor Olr1593
NM_001000086	Olr1600	olfactory receptor Olr1600
NM_001000087	Olr1601	olfactory receptor Olr1601
NM_001000088	Olr1605	olfactory receptor Olr1605
NM_001000089	Olr1624	olfactory receptor Olr1624
NM_001000090	Olr1626	olfactory receptor Olr1626
NM_001000091	Olr1627	olfactory receptor Olr1627
NM_001000092	Olr1630	olfactory receptor Olr1630
NM_001000093	Olr1608	olfactory receptor Olr1608
NM_001000094	Olr1610	olfactory receptor Olr1610
NM_001000096	Olr1612	olfactory receptor Olr1612
NM_001000097	Olr1620	olfactory receptor Olr1620
NM_001000099	Olr1640	olfactory receptor Olr1640
NM_001000100	Olr1641	olfactory receptor Olr1641
NM_001000101	Olr1644	olfactory receptor Olr1644
NM_001000102	Olr1645	olfactory receptor Olr1645
NM_001000103	Olr1646	olfactory receptor Olr1646
NM_001000104	Olr1653	olfactory receptor Olr1653
NM_001000105	Olr1658	olfactory receptor Olr1658
NM_001000106	Olr1660	olfactory receptor Olr1660
NM_001000107	Olr1662	olfactory receptor Olr1662
NM_001000108	Olr1666	olfactory receptor Olr1666
NM_001000109	Olr387	olfactory receptor Olr387
NM_001000110	Olr3	olfactory receptor Olr3
NM_001000111	Olr4	olfactory receptor Olr4
NM_001000112	Olr5	olfactory receptor Olr5
NM_001000113	Olr8	olfactory receptor Olr8
NM_001000114	Olr11	olfactory receptor Olr11
NM_001000115	Olr10	olfactory receptor Olr10
NM_001000116	Olr13	olfactory receptor Olr13
NM_001000117	Olr19	olfactory receptor Olr19
NM_001000118	Olr20	olfactory receptor Olr20
NM_001000119	Olr23	olfactory receptor Olr23
NM_001000120	Olr30	olfactory receptor Olr30
NM_001000121	Olr35	olfactory receptor Olr35
NM_001000122	Olr48	olfactory receptor Olr48
NM_001000123	Olr47	olfactory receptor Olr47
NM_001000124	Olr45	olfactory receptor Olr45
NM_001000125	Olr44	olfactory receptor Olr44
NM_001000126	Olr41	olfactory receptor Olr41
NM_001000127	Olr40	olfactory receptor Olr40
NM_001000128	Olr39	olfactory receptor Olr39
NM_001000129	Olr62	olfactory receptor Olr62
NM_001000130	Olr56	olfactory receptor Olr56
NM_001000131	Olr50	olfactory receptor Olr50
NM_001000132	Olr49	olfactory receptor Olr49
NM_001000133	Olr68	olfactory receptor Olr68
NM_001000134	Olr74	olfactory receptor Olr74
NM_001000135	Olr78	olfactory receptor Olr78
NM_001000136	Olr83	olfactory receptor Olr83
NM_001000137	Olr84	olfactory receptor Olr84
NM_001000138	Olr85	olfactory receptor Olr85
NM_001000139	Olr91	olfactory receptor Olr91
NM_001000140	Olr92	olfactory receptor Olr92
NM_001000141	Olr93	olfactory receptor Olr93
NM_001000143	Olr98	olfactory receptor Olr98
NM_001000144	Olr103	olfactory receptor Olr103
NM_001000145	Olr104	olfactory receptor Olr104
NM_001000146	Olr105	olfactory receptor Olr105
NM_001000147	Olr106	olfactory receptor Olr106
NM_001000148	Olr107	olfactory receptor Olr107
NM_001000149	Olr108	olfactory receptor Olr108
NM_001000150	Olr112	olfactory receptor Olr112
NM_001000151	Olr113	olfactory receptor Olr113
NM_001000152	Olr115	olfactory receptor Olr115
NM_001000153	Olr119	olfactory receptor Olr119
NM_001000154	Olr120	olfactory receptor Olr120
NM_001000155	Olr121	olfactory receptor Olr121
NM_001000156	Olr122	olfactory receptor Olr122
NM_001000157	Olr124	olfactory receptor Olr124
NM_001000158	Olr126	olfactory receptor Olr126
NM_001000159	Olr128	olfactory receptor Olr128
NM_001000160	Olr136	olfactory receptor Olr136
NM_001000161	Olr139	olfactory receptor Olr139
NM_001000162	Olr140	olfactory receptor Olr140
NM_001000163	Olr143	olfactory receptor Olr143
NM_001000164	Olr144	olfactory receptor Olr144
NM_001000165	Olr148	olfactory receptor Olr148
NM_001000166	Olr149	olfactory receptor Olr149
NM_001000167	Olr153	olfactory receptor Olr153
NM_001000168	Olr155	olfactory receptor Olr155
NM_001000169	Olr157	olfactory receptor Olr157
NM_001000170	Olr159	olfactory receptor Olr159
NM_001000171	Olr163	olfactory receptor Olr163
NM_001000172	Olr165	olfactory receptor Olr165
NM_001000173	Olr167	olfactory receptor Olr167
NM_001000174	Olr168	olfactory receptor Olr168
NM_001000175	Olr170	olfactory receptor Olr170
NM_001000176	Olr171	olfactory receptor Olr171
NM_001000177	Olr172	olfactory receptor Olr172
NM_001000178	Olr176	olfactory receptor Olr176
NM_001000179	Olr178	olfactory receptor Olr178
NM_001000180	Olr180	olfactory receptor Olr180
NM_001000181	Olr183	olfactory receptor Olr183
NM_001000182	Olr184	olfactory receptor Olr184
NM_001000183	Olr185	olfactory receptor Olr185
NM_001000184	Olr189	olfactory receptor Olr189
NM_001000185	Olr190	olfactory receptor Olr190
NM_001000186	Olr193	olfactory receptor Olr193
NM_001000187	Olr196	olfactory receptor Olr196
NM_001000188	Olr197	olfactory receptor Olr197
NM_001000189	Olr200	olfactory receptor Olr200
NM_001000190	Olr201	olfactory receptor Olr201
NM_001000191	Olr203	olfactory receptor Olr203
NM_001000192	Olr204	olfactory receptor Olr204
NM_001000193	Olr206	olfactory receptor Olr206
NM_001000194	Olr208	olfactory receptor Olr208
NM_001000195	Olr210	olfactory receptor Olr210
NM_001000196	Olr211	olfactory receptor Olr211
NM_001000197	Olr214	olfactory receptor Olr214
NM_001000198	Olr215	olfactory receptor Olr215
NM_001000199	Olr217	olfactory receptor Olr217
NM_001000200	Olr221	olfactory receptor Olr221
NM_001000201	Olr222	olfactory receptor Olr222
NM_001000202	Olr223	olfactory receptor Olr223
NM_001000203	Olr227	olfactory receptor Olr227
NM_001000204	Olr229	olfactory receptor Olr229
NM_001000205	Olr230	olfactory receptor Olr230
NM_001000206	Olr231	olfactory receptor Olr231
NM_001000207	Olr233	olfactory receptor Olr233
NM_001000208	Olr234	olfactory receptor Olr234
NM_001000209	Olr235	olfactory receptor Olr235
NM_001000210	Olr237	olfactory receptor Olr237
NM_001000211	Olr239	olfactory receptor Olr239
NM_001000213	Olr242	olfactory receptor Olr242
NM_001000214	Olr244	olfactory receptor Olr244
NM_001000215	Olr245	olfactory receptor Olr245
NM_001000216	Olr246	olfactory receptor Olr246
NM_001000217	Olr247	olfactory receptor Olr247
NM_001000218	Olr251	olfactory receptor Olr251
NM_001000219	Olr252	olfactory receptor Olr252
NM_001000220	Olr263	olfactory receptor Olr263
NM_001000221	Olr262	olfactory receptor Olr262
NM_001000222	Olr259	olfactory receptor Olr259
NM_001000223	Olr285	olfactory receptor Olr285
NM_001000224	Olr282	olfactory receptor Olr282
NM_001000225	Olr281	olfactory receptor Olr281
NM_001000226	Olr279	olfactory receptor Olr279
NM_001000227	Olr276	olfactory receptor Olr276
NM_001000228	Olr267	olfactory receptor Olr267
NM_001000229	Olr270	olfactory receptor Olr270
NM_001000230	Olr272	olfactory receptor Olr272
NM_001000231	Olr288	olfactory receptor Olr288
NM_001000232	Olr292	olfactory receptor Olr292
NM_001000233	Olr295	olfactory receptor Olr295
NM_001000234	Olr297	olfactory receptor Olr297
NM_001000235	Olr298	olfactory receptor Olr298
NM_001000236	Olr299	olfactory receptor Olr299
NM_001000237	Olr300	olfactory receptor Olr300
NM_001000238	Olr302	olfactory receptor Olr302
NM_001000239	Olr303	olfactory receptor Olr303
NM_001000240	Olr305	olfactory receptor Olr305
NM_001000241	Olr307	olfactory receptor Olr307
NM_001000242	Olr309	olfactory receptor Olr309
NM_001000243	Olr315	olfactory receptor Olr315
NM_001000244	Olr321	olfactory receptor Olr321
NM_001000245	Olr323	olfactory receptor Olr323
NM_001000246	Olr324	olfactory receptor Olr324
NM_001000247	Olr325	olfactory receptor Olr325
NM_001000248	Olr326	olfactory receptor Olr326
NM_001000249	Olr327	olfactory receptor Olr327
NM_001000250	Olr332	olfactory receptor Olr332
NM_001000251	Olr329	olfactory receptor Olr329
NM_001000252	Olr338	olfactory receptor Olr338
NM_001000253	Olr340	olfactory receptor Olr340
NM_001000254	Olr343	olfactory receptor Olr343
NM_001000255	Olr346	olfactory receptor Olr346
NM_001000256	Olr352	olfactory receptor Olr352
NM_001000257	Olr357	olfactory receptor Olr357
NM_001000258	Olr371	olfactory receptor Olr371
NM_001000259	Olr375	olfactory receptor Olr375
NM_001000260	Olr376	olfactory receptor Olr376
NM_001000261	Olr379	olfactory receptor Olr379
NM_001000262	Olr383	olfactory receptor Olr383
NM_001000263	Olr384	olfactory receptor Olr384
NM_001000264	Olr1768	olfactory receptor Olr1768
NM_001000266	Olr1671	olfactory receptor Olr1671
NM_001000267	Olr1668	olfactory receptor Olr1668
NM_001000268	Olr1673	olfactory receptor Olr1673
NM_001000269	Olr1683	olfactory receptor Olr1683
NM_001000270	Olr1684	olfactory receptor Olr1684
NM_001000271	Olr1704	olfactory receptor Olr1704
NM_001000272	Olr1695	olfactory receptor Olr1695
NM_001000273	Olr1691	olfactory receptor Olr1691
NM_001000274	Olr1690	olfactory receptor Olr1690
NM_001000275	Olr1688	olfactory receptor Olr1688
NM_001000276	Olr1708	olfactory receptor Olr1708
NM_001000277	Olr1724	olfactory receptor Olr1724
NM_001000279	Olr1730	olfactory receptor Olr1730
NM_001000281	Olr439	olfactory receptor Olr439
NM_001000282	Olr440	olfactory receptor Olr440
NM_001000283	Olr441	olfactory receptor Olr441
NM_001000284	Olr442	olfactory receptor Olr442
NM_001000285	Olr443	olfactory receptor Olr443
NM_001000286	Olr447	olfactory receptor Olr447
NM_001000287	Olr448	olfactory receptor Olr448
NM_001000288	Olr450	olfactory receptor Olr450
NM_001000289	Olr453	olfactory receptor Olr453
NM_001000290	Olr454	olfactory receptor Olr454
NM_001000291	Olr455	olfactory receptor Olr455
NM_001000292	Olr458	olfactory receptor Olr458
NM_001000293	Olr459	olfactory receptor Olr459
NM_001000294	Olr461	olfactory receptor Olr461
NM_001000295	Olr462	olfactory receptor Olr462
NM_001000296	Olr464	olfactory receptor Olr464
NM_001000297	Olr465	olfactory receptor Olr465
NM_001000298	Olr466	olfactory receptor Olr466
NM_001000299	Olr469	olfactory receptor Olr469
NM_001000300	Olr470	olfactory receptor Olr470
NM_001000301	Olr472	olfactory receptor Olr472
NM_001000302	Olr473	olfactory receptor Olr473
NM_001000303	Olr476	olfactory receptor Olr476
NM_001000304	Olr477	olfactory receptor Olr477
NM_001000305	Olr479	olfactory receptor Olr479
NM_001000306	Olr484	olfactory receptor Olr484
NM_001000307	Olr485	olfactory receptor Olr485
NM_001000308	Olr488	olfactory receptor Olr488
NM_001000309	Olr493	olfactory receptor Olr493
NM_001000310	Olr495	olfactory receptor Olr495
NM_001000311	Olr502	olfactory receptor Olr502
NM_001000312	Olr510	olfactory receptor Olr510
NM_001000313	Olr513	olfactory receptor Olr513
NM_001000314	Olr514	olfactory receptor Olr514
NM_001000315	Olr515	olfactory receptor Olr515
NM_001000316	Olr516	olfactory receptor Olr516
NM_001000317	Olr517	olfactory receptor Olr517
NM_001000318	Olr519	olfactory receptor Olr519
NM_001000319	Olr528	olfactory receptor Olr528
NM_001000320	Olr539	olfactory receptor Olr539
NM_001000321	Olr540	olfactory receptor Olr540
NM_001000322	Olr550	olfactory receptor Olr550
NM_001000323	Olr554	olfactory receptor Olr554
NM_001000324	Olr558	olfactory receptor Olr558
NM_001000325	Olr560	olfactory receptor Olr560
NM_001000326	Olr567	olfactory receptor Olr567
NM_001000327	Olr575	olfactory receptor Olr575
NM_001000328	Olr576	olfactory receptor Olr576
NM_001000329	Olr588	olfactory receptor Olr588
NM_001000330	Olr592	olfactory receptor Olr592
NM_001000331	Olr597	olfactory receptor Olr597
NM_001000332	Olr598	olfactory receptor Olr598
NM_001000333	Olr602	olfactory receptor Olr602
NM_001000334	Olr607	olfactory receptor Olr607
NM_001000335	Olr609	olfactory receptor Olr609
NM_001000336	Olr610	olfactory receptor Olr610
NM_001000337	Olr614	olfactory receptor Olr614
NM_001000338	Olr619	olfactory receptor Olr619
NM_001000339	Olr631	olfactory receptor Olr631
NM_001000340	Olr639	olfactory receptor Olr639
NM_001000341	Olr651	olfactory receptor Olr651
NM_001000342	Olr655	olfactory receptor Olr655
NM_001000343	Olr657	olfactory receptor Olr657
NM_001000344	Olr658	olfactory receptor Olr658
NM_001000345	Olr659	olfactory receptor Olr659
NM_001000346	Olr663	olfactory receptor Olr663
NM_001000347	Olr664	olfactory receptor Olr664
NM_001000348	Olr668	olfactory receptor Olr668
NM_001000349	Olr669	olfactory receptor Olr669
NM_001000350	Olr672	olfactory receptor Olr672
NM_001000351	Olr673	olfactory receptor Olr673
NM_001000352	Olr674	olfactory receptor Olr674
NM_001000353	Olr678	olfactory receptor Olr678
NM_001000354	Olr679	olfactory receptor Olr679
NM_001000355	Olr686	olfactory receptor Olr686
NM_001000356	Olr687	olfactory receptor Olr687
NM_001000357	Olr694	olfactory receptor Olr694
NM_001000359	Olr703	olfactory receptor Olr703
NM_001000360	Olr713	olfactory receptor Olr713
NM_001000361	Olr718	olfactory receptor Olr718
NM_001000362	Olr721	olfactory receptor Olr721
NM_001000363	Olr728	olfactory receptor Olr728
NM_001000364	Olr731	olfactory receptor Olr731
NM_001000365	Olr748	olfactory receptor Olr748
NM_001000366	Olr750	olfactory receptor Olr750
NM_001000367	Olr752	olfactory receptor Olr752
NM_001000368	Olr754	olfactory receptor Olr754
NM_001000369	Olr758	olfactory receptor Olr758
NM_001000371	Olr769	olfactory receptor Olr769
NM_001000372	Olr770	olfactory receptor Olr770
NM_001000373	Olr773	olfactory receptor Olr773
NM_001000374	Olr775	olfactory receptor Olr775
NM_001000375	Olr781	olfactory receptor Olr781
NM_001000376	Olr783	olfactory receptor Olr783
NM_001000377	Olr789	olfactory receptor Olr789
NM_001000378	Olr792	olfactory receptor Olr792
NM_001000379	Olr400	olfactory receptor Olr400
NM_001000380	Olr397	olfactory receptor Olr397
NM_001000381	Olr403	olfactory receptor Olr403
NM_001000382	Olr404	olfactory receptor Olr404
NM_001000383	Olr406	olfactory receptor Olr406
NM_001000384	Olr408	olfactory receptor Olr408
NM_001000385	Olr411	olfactory receptor Olr411
NM_001000386	Olr415	olfactory receptor Olr415
NM_001000387	Olr416	olfactory receptor Olr416
NM_001000388	Olr417	olfactory receptor Olr417
NM_001000389	Olr420	olfactory receptor Olr420
NM_001000390	Olr422	olfactory receptor Olr422
NM_001000391	Olr423	olfactory receptor Olr423
NM_001000392	Olr424	olfactory receptor Olr424
NM_001000393	Olr425	olfactory receptor Olr425
NM_001000394	Olr428	olfactory receptor Olr428
NM_001000395	Olr429	olfactory receptor Olr429
NM_001000397	Olr434	olfactory receptor Olr434
NM_001000398	Olr853	olfactory receptor Olr853
NM_001000399	Olr852	olfactory receptor Olr852
NM_001000400	Olr851	olfactory receptor Olr851
NM_001000401	Olr850	olfactory receptor Olr850
NM_001000402	Olr848	olfactory receptor Olr848
NM_001000403	Olr847	olfactory receptor Olr847
NM_001000404	Olr845	olfactory receptor Olr845
NM_001000405	Olr841	olfactory receptor Olr841
NM_001000406	Olr836	olfactory receptor Olr836
NM_001000407	Olr834	olfactory receptor Olr834
NM_001000408	Olr833	olfactory receptor Olr833
NM_001000409	Olr855	olfactory receptor Olr855
NM_001000410	Olr865	olfactory receptor Olr865
NM_001000411	Olr866	olfactory receptor Olr866
NM_001000412	Olr867	olfactory receptor Olr867
NM_001000413	Olr869	olfactory receptor Olr869
NM_001000414	Olr840	olfactory receptor Olr840
NM_001000415	Olr839	olfactory receptor Olr839
NM_001000416	Olr1095	olfactory receptor Olr1095
NM_001000418	Olr1087	olfactory receptor Olr1087
NM_001000419	Olr1086	olfactory receptor Olr1086
NM_001000420	Olr1085	olfactory receptor Olr1085
NM_001000421	Olr1075	olfactory receptor Olr1075
NM_001000423	Olr1106	olfactory receptor Olr1106
NM_001000424	Olr1107	olfactory receptor Olr1107
NM_001000425	Olr1111	olfactory receptor Olr1111
NM_001000426	Olr1124	olfactory receptor Olr1124
NM_001000427	Olr1139	olfactory receptor Olr1139
NM_001000428	Olr1130	olfactory receptor Olr1130
NM_001000429	Olr1145	olfactory receptor Olr1145
NM_001000431	Olr1147	olfactory receptor Olr1147
NM_001000432	Olr1151	olfactory receptor Olr1151
NM_001000433	Olr1155	olfactory receptor Olr1155
NM_001000434	Olr1169	olfactory receptor Olr1169
NM_001000435	Olr1196	olfactory receptor Olr1196
NM_001000436	Olr1198	olfactory receptor Olr1198
NM_001000437	Olr1204	olfactory receptor Olr1204
NM_001000438	Olr1214	olfactory receptor Olr1214
NM_001000439	Olr1217	olfactory receptor Olr1217
NM_001000440	Olr1222	olfactory receptor Olr1222
NM_001000441	Olr1223	olfactory receptor Olr1223
NM_001000442	Olr1226	olfactory receptor Olr1226
NM_001000443	Olr1227	olfactory receptor Olr1227
NM_001000444	Olr1229	olfactory receptor Olr1229
NM_001000445	Olr1232	olfactory receptor Olr1232
NM_001000446	Olr1234	olfactory receptor Olr1234
NM_001000447	Olr1235	olfactory receptor Olr1235
NM_001000448	Olr1240	olfactory receptor Olr1240
NM_001000449	Olr1241	olfactory receptor Olr1241
NM_001000450	Olr1242	olfactory receptor Olr1242
NM_001000451	Olr1243	olfactory receptor Olr1243
NM_001000452	Olr1248	olfactory receptor Olr1248
NM_001000453	Olr1251	olfactory receptor Olr1251
NM_001000454	Olr1252	olfactory receptor Olr1252
NM_001000455	Olr1259	olfactory receptor Olr1259
NM_001000456	Olr1264	olfactory receptor Olr1264
NM_001000457	Olr1265	olfactory receptor Olr1265
NM_001000458	Olr1273	olfactory receptor Olr1273
NM_001000459	Olr1285	olfactory receptor Olr1285
NM_001000460	Olr1293	olfactory receptor Olr1293
NM_001000461	Olr1297	olfactory receptor Olr1297
NM_001000462	Olr1301	olfactory receptor Olr1301
NM_001000463	Olr1302	olfactory receptor Olr1302
NM_001000464	Olr1304	olfactory receptor Olr1304
NM_001000465	Olr1306	olfactory receptor Olr1306
NM_001000466	Olr1309	olfactory receptor Olr1309
NM_001000467	Olr1311	olfactory receptor Olr1311
NM_001000468	Olr1314	olfactory receptor Olr1314
NM_001000469	Olr1315	olfactory receptor Olr1315
NM_001000470	Olr1319	olfactory receptor Olr1319
NM_001000471	Olr1320	olfactory receptor Olr1320
NM_001000472	Olr1323	olfactory receptor Olr1323
NM_001000473	Olr1325	olfactory receptor Olr1325
NM_001000474	Olr1326	olfactory receptor Olr1326
NM_001000475	Olr1327	olfactory receptor Olr1327
NM_001000476	Olr1330	olfactory receptor Olr1330
NM_001000477	Olr1332	olfactory receptor Olr1332
NM_001000478	Olr1334	olfactory receptor Olr1334
NM_001000479	Olr1335	olfactory receptor Olr1335
NM_001000480	Olr1337	olfactory receptor Olr1337
NM_001000481	Olr1339	olfactory receptor Olr1339
NM_001000482	Olr1341	olfactory receptor Olr1341
NM_001000483	Olr1344	olfactory receptor Olr1344
NM_001000484	Olr1349	olfactory receptor Olr1349
NM_001000485	Olr1096	olfactory receptor Olr1096
NM_001000486	Olr959	olfactory receptor Olr959
NM_001000487	Olr962	olfactory receptor Olr962
NM_001000488	Olr1218	olfactory receptor Olr1218
NM_001000489	Olr1765	olfactory receptor Olr1765
NM_001000490	Olr1766	olfactory receptor Olr1766
NM_001000491	Olr1767	olfactory receptor Olr1767
NM_001000492	Olr1751	olfactory receptor Olr1751
NM_001000493	Olr1356	olfactory receptor Olr1356
NM_001000494	Olr1369	olfactory receptor Olr1369
NM_001000495	Olr1504	olfactory receptor Olr1504
NM_001000496	Olr1533	olfactory receptor Olr1533
NM_001000497	Olr878	olfactory receptor Olr878
NM_001000498	Olr1065	olfactory receptor Olr1065
NM_001000499	Olr1576	olfactory receptor Olr1576
NM_001000500	Olr1595	olfactory receptor Olr1595
NM_001000501	Olr1596	olfactory receptor Olr1596
NM_001000502	Olr1606	olfactory receptor Olr1606
NM_001000503	Olr1637	olfactory receptor Olr1637
NM_001000504	Olr37	olfactory receptor Olr37
NM_001000505	Olr318	olfactory receptor Olr318
NM_001000506	Olr319	olfactory receptor Olr319
NM_001000507	Olr337	olfactory receptor Olr337
NM_001000508	Olr1687	olfactory receptor Olr1687
NM_001000509	Olr1709	olfactory receptor Olr1709
NM_001000510	Olr1733	olfactory receptor Olr1733
NM_001000511	Olr561	olfactory receptor Olr561
NM_001000512	Olr601	olfactory receptor Olr601
NM_001000513	Olr698	olfactory receptor Olr698
NM_001000514	Olr725	olfactory receptor Olr725
NM_001000515	Olr856	olfactory receptor Olr856
NM_001000516	Olr1121	olfactory receptor Olr1121
NM_001000517	Olr1280	olfactory receptor Olr1280
NM_001000518	Olr1283	olfactory receptor Olr1283
NM_001000519	Olr1307	olfactory receptor Olr1307
NM_001000520	Olr1346	olfactory receptor Olr1346
NM_001000521	Olr1619	olfactory receptor Olr1619
NM_001000522	Olr1069	olfactory receptor Olr1069
NM_001000523	Olr1381	olfactory receptor Olr1381
NM_001000524	Olr1393	olfactory receptor Olr1393
NM_001000525	Olr1433	olfactory receptor Olr1433
NM_001000526	Olr1457	olfactory receptor Olr1457
NM_001000527	Olr1481	olfactory receptor Olr1481
NM_001000528	Olr1509	olfactory receptor Olr1509
NM_001000529	Olr1525	olfactory receptor Olr1525
NM_001000530	Olr1538	olfactory receptor Olr1538
NM_001000531	Olr1542	olfactory receptor Olr1542
NM_001000532	Olr1568	olfactory receptor Olr1568
NM_001000533	Olr1581	olfactory receptor Olr1581
NM_001000534	Olr1607	olfactory receptor Olr1607
NM_001000535	Olr1643	olfactory receptor Olr1643
NM_001000536	Olr1657	olfactory receptor Olr1657
NM_001000537	Olr1667	olfactory receptor Olr1667
NM_001000538	Olr1	olfactory receptor Olr1
NM_001000539	Olr6	olfactory receptor Olr6
NM_001000540	Olr12	olfactory receptor Olr12
NM_001000541	Olr43	olfactory receptor Olr43
NM_001000542	Olr63	olfactory receptor Olr63
NM_001000543	Olr87	olfactory receptor Olr87
NM_001000544	Olr142	olfactory receptor Olr142
NM_001000545	Olr145	olfactory receptor Olr145
NM_001000546	Olr152	olfactory receptor Olr152
NM_001000547	Olr154	olfactory receptor Olr154
NM_001000548	Olr158	olfactory receptor Olr158
NM_001000549	Olr192	olfactory receptor Olr192
NM_001000550	Olr202	olfactory receptor Olr202
NM_001000551	Olr218	olfactory receptor Olr218
NM_001000552	Olr220	olfactory receptor Olr220
NM_001000553	Olr224	olfactory receptor Olr224
NM_001000554	Olr286	olfactory receptor Olr286
NM_001000555	Olr311	olfactory receptor Olr311
NM_001000556	Olr361	olfactory receptor Olr361
NM_001000557	Olr1693	olfactory receptor Olr1693
NM_001000558	Olr390	olfactory receptor Olr390
NM_001000559	Olr395	olfactory receptor Olr395
NM_001000560	Olr399	olfactory receptor Olr399
NM_001000561	Olr482	olfactory receptor Olr482
NM_001000562	Olr522	olfactory receptor Olr522
NM_001000563	Olr532	olfactory receptor Olr532
NM_001000564	Olr536	olfactory receptor Olr536
NM_001000565	Olr541	olfactory receptor Olr541
NM_001000566	Olr542	olfactory receptor Olr542
NM_001000567	Olr577	olfactory receptor Olr577
NM_001000568	Olr578	olfactory receptor Olr578
NM_001000569	Olr690	olfactory receptor Olr690
NM_001000570	Olr705	olfactory receptor Olr705
NM_001000571	Olr710	olfactory receptor Olr710
NM_001000572	Olr722	olfactory receptor Olr722
NM_001000573	Olr724	olfactory receptor Olr724
NM_001000574	Olr729	olfactory receptor Olr729
NM_001000575	Olr741	olfactory receptor Olr741
NM_001000576	Olr742	olfactory receptor Olr742
